X,Y,Z,TP,Source
554825.06,4776458.9,-2,0.00932,CSMI
554825.06,4776458.9,-2,0.0086,CSMI
557050.11,4777077.7,-2,0.01383,CSMI
557457.68,4777191.1,-2,0.00841,CSMI
551482.03,4783451.9,-2,0.02123,CSMI
553637.33,4784246.9,-2,0.01696,CSMI
553637.33,4784246.9,-2,0.0068,CSMI
554269.98,4784480.2,-2,0.01313,CSMI
550701.78,4785253.2,-2,0.00781,CSMI
552690.64,4785986,-2,0.01692,CSMI
549671.54,4787003.3,-2,0.00946,CSMI
551970.27,4787850.3,-2,0.00789,CSMI
552495.85,4788043.9,-2,0.00975,CSMI
546263.16,4794207,-2,0.00345,CSMI
548341.37,4794988.6,-2,0.00989,CSMI
548976.61,4795227.5,-2,0.01532,CSMI
560076.01,4756966.6,-2,0.00374,CSMI
562476.5,4757563.1,-2,0.00321,CSMI
562724.7,4757624.8,-2,0.00471,CSMI
558922.19,4764939.6,-2,0.00821,CSMI
560994.78,4765451.1,-2,0.00681,CSMI
561584.39,4765596.6,-2,0.00848,CSMI
558213.34,4766808.8,-2,0.01179,CSMI
560270.3,4767315.2,-2,0.02852,CSMI
560707.23,4767422.7,-2,0.03921,CSMI
557695.09,4768714.7,-2,0.01771,CSMI
560006,4769289.3,-2,0.01955,CSMI
560514.84,4769415.8,-2,0.0203,CSMI
556615.96,4771546.7,-2,0.01493,CSMI
559004.38,4772152.2,-2,0.01686,CSMI
559590.48,4772296.4,-2,0.01595,CSMI
