OID_,FID_MI_CSMI_2015_pts_ID,FID_MI_CSMI_2015_pts,StationCod,AltStation,ProjectNam,SiteType,PositionN_,PositionE_,DepthM__ta,LatDD_targ,LonDD_targ,LatDDM_act,LonDDM_act,LatDD_actu,LonDD_actu,LatDD2map,LonDD2map,SampleDate,TimeUTC,TimeEST,DepthM_act,WQdepth_m,STISkey,NH4_ugNL,SRP_ugL,NOx_ugNL,TP_ugL,TN_ugL,Cl__mgL,Chla_ugL,FID_psTces,SP_ID,ID,GreenBay,FID_Lake_MI_zones,Name,Descriptio
1,1,153,StJoe_18,St. Joseph NS,CSMI_15,transect,S2,E,18,42.133583000000002,-86.530600000000007, 42 08.00 N, 086 31.86 W,42.133330000000001,-86.530000000000001,42.133330000000001,-86.530000000000001,5/20/2015 0:00:00,12/30/1899 0:00:00,12/30/1899 0:00:00,19,5,5122,7.270000000000000,1.440000000000000,324.800000000000011,7.270000000000000,441.199999999999989,13.240000000000000,1.740000000000000,5353,5354,5354,0,-1,,
2,2,154,StJoe_18,St. Joseph NS,CSMI_15,transect,S2,E,18,42.133583000000002,-86.530600000000007, 42 08.00 N, 086 31.86 W,42.133330000000001,-86.530000000000001,42.133330000000001,-86.530000000000001,5/20/2015 0:00:00,12/30/1899 0:00:00,12/30/1899 0:00:00,19,17,5126,10.060000000000000,1.430000000000000,311.500000000000000,5.950000000000000,448.100000000000023,13.470000000000001,0.940000000000000,5353,5354,5354,0,-1,,
3,3,151,StJoe_18,St. Joseph NS,CSMI_15,transect,S2,E,18,42.133583000000002,-86.530600000000007, 42 08.03 N, 086 31.83 W,42.133830000000003,-86.530000000000001,42.133830000000003,-86.530000000000001,7/9/2015 0:00:00,12/30/1899 0:00:00,12/30/1899 0:00:00,19,5,5548,10.410000000000000,2.500000000000000,301.500000000000000,6.690000000000000,513.500000000000000,13.760000000000000,3.490000000000000,5353,5354,5354,0,-1,,
4,4,152,StJoe_18,St. Joseph NS,CSMI_15,transect,S2,E,18,42.133583000000002,-86.530600000000007, 42 08.03 N, 086 31.83 W,42.133830000000003,-86.530000000000001,42.133830000000003,-86.530000000000001,7/9/2015 0:00:00,12/30/1899 0:00:00,12/30/1899 0:00:00,19,17,5552,11.449999999999999,2.290000000000000,251.900000000000006,17.879999999999999,469.300000000000011,12.650000000000000,1.520000000000000,5353,5354,5354,0,-1,,
5,5,158,StJoe_46,St. Joseph MID,CSMI_15,transect,S2,E,46,42.214883000000000,-86.641149999999996, 42 12.89 N, 086 38.47 W,42.214829999999999,-86.640000000000001,42.214829999999999,-86.640000000000001,5/20/2015 0:00:00,12/30/1899 0:00:00,12/30/1899 0:00:00,46,10,5130,11.150000000000000,1.540000000000000,304.199999999999989,14.990000000000000,426.600000000000023,12.770000000000000,0.710000000000000,5229,5230,5230,0,-1,,
6,6,159,StJoe_46,St. Joseph MID,CSMI_15,transect,S2,E,46,42.214883000000000,-86.641149999999996, 42 12.89 N, 086 38.47 W,42.214829999999999,-86.640000000000001,42.214829999999999,-86.640000000000001,5/20/2015 0:00:00,12/30/1899 0:00:00,12/30/1899 0:00:00,46,44,5134,6.380000000000000,2.700000000000000,290.000000000000000,16.739999999999998,444.699999999999989,12.500000000000000,0.650000000000000,5229,5230,5230,0,-1,,
7,7,155,StJoe_46,St. Joseph MID,CSMI_15,transect,S2,E,46,42.214883000000000,-86.641149999999996, 42 12.93 N, 086 38.45 W,42.215499999999999,-86.640000000000001,42.215499999999999,-86.640000000000001,7/9/2015 0:00:00,12/30/1899 0:00:00,12/30/1899 0:00:00,45,5,5556,7.900000000000000,2.640000000000000,253.099999999999994,4.260000000000000,554.000000000000000,13.160000000000000,2.080000000000000,5229,5230,5230,0,-1,,
8,8,156,StJoe_46,St. Joseph MID,CSMI_15,transect,S2,E,46,42.214883000000000,-86.641149999999996, 42 12.93 N, 086 38.45 W,42.215499999999999,-86.640000000000001,42.215499999999999,-86.640000000000001,7/9/2015 0:00:00,12/30/1899 0:00:00,12/30/1899 0:00:00,45,24,5558,15.000000000000000,1.990000000000000,269.800000000000011,13.310000000000000,430.500000000000000,12.690000000000000,0.950000000000000,5229,5230,5230,0,-1,,
9,9,157,StJoe_46,St. Joseph MID,CSMI_15,transect,S2,E,46,42.214883000000000,-86.641149999999996, 42 12.93 N, 086 38.45 W,42.215499999999999,-86.640000000000001,42.215499999999999,-86.640000000000001,7/9/2015 0:00:00,12/30/1899 0:00:00,12/30/1899 0:00:00,45,43,5560,17.300000000000001,3.550000000000000,272.699999999999989,4.560000000000000,435.399999999999977,12.740000000000000,0.560000000000000,5229,5230,5230,0,-1,,
10,10,145,StJoe_110,St. Joseph OS,CSMI_15,transect,S2,E,110,42.265799999999999,-86.801232999999996, 42 15.93 N, 086 48.08 W,42.265500000000003,-86.799999999999997,42.265500000000003,-86.799999999999997,7/9/2015 0:00:00,12/30/1899 0:00:00,12/30/1899 0:00:00,107,5,5564,3.860000000000000,1.380000000000000,253.400000000000006,5.890000000000000,438.699999999999989,13.260000000000000,2.190000000000000,5226,5227,5227,0,-1,,
