Station,Depth,TP,Date,lat,lon,X,Y,Source
Alpha,5,4.65,2010-03-16,43.18817,-86.344,553306.10,4781920.0,Pothoven
Alpha,5,4.83,2010-04-05,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.96,2010-04-05,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,4.37,2010-04-05,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,4.82,2010-04-27,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,4.43,2010-04-27,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Alpha,5,7.61,2010-05-03,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.99,2010-05-03,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Alpha,5,8.43,2010-05-18,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,5.56,2010-05-18,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Alpha,5,12.64,2010-06-04,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,8.06,2010-06-04,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,6.97,2010-06-04,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,9.28,2010-06-14,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,7.55,2010-06-14,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Alpha,5,7.21,2010-07-01,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,7.81,2010-07-01,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,5.91,2010-07-01,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,7.75,2010-07-26,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,5.76,2010-07-26,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,3.19,2010-07-26,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,3.56,2010-08-03,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,4.03,2010-08-03,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,3.57,2010-08-03,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,8.87,2010-08-17,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.63,2010-08-17,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,3.46,2010-08-17,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Beta,5,5.83,2010-09-09,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,5.95,2010-09-09,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,8.08,2010-09-28,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,5.16,2010-09-28,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,5.42,2010-09-28,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,5.75,2010-10-18,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,11.54,2010-10-18,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Alpha,5,10.02,2010-11-01,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,12.84,2010-11-01,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,14.61,2010-11-01,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,5.6,2010-12-03,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,7.41,2010-12-03,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,3.33,2010-12-03,43.19983,-86.56983,534948.63,4783095.8,Pothoven
