X,Y,Z,TP,Source
560076.01,4756966.6,-10,0.00581,CSMI
562476.5,4757563.1,-10,0.00445,CSMI
562724.7,4757624.8,-10,0.01191,CSMI
558922.19,4764939.6,-10,0.01682,CSMI
560994.78,4765451.1,-10,0.0069,CSMI
561584.39,4765596.6,-10,0.00816,CSMI
558213.34,4766808.8,-10,0.00521,CSMI
560270.3,4767315.2,-10,0.04212,CSMI
557695.09,4768714.7,-10,0.00859,CSMI
560006,4769289.3,-10,0.00628,CSMI
560006,4769289.3,-10,0.01467,CSMI
560514.84,4769415.8,-10,0.00495,CSMI
556615.96,4771546.7,-10,0.00703,CSMI
556615.96,4771546.7,-10,0.00753,CSMI
559004.38,4772152.2,-10,0.0134,CSMI
559590.48,4772296.4,-10,0.01839,CSMI
