X,Y,Z,TP,Source
560076.01,4756966.6,1,0.00374,CSMI
562476.5,4757563.1,1,0.00321,CSMI
562724.7,4757624.8,1,0.00471,CSMI
558922.19,4764939.6,1,0.00821,CSMI
560994.78,4765451.1,1,0.00681,CSMI
561584.39,4765596.6,1,0.00848,CSMI
558213.34,4766808.8,1,0.01179,CSMI
560270.3,4767315.2,1,0.02852,CSMI
560707.23,4767422.7,1,0.03921,CSMI
557695.09,4768714.7,1,0.01771,CSMI
560006,4769289.3,1,0.01955,CSMI
560514.84,4769415.8,1,0.0203,CSMI
556615.96,4771546.7,1,0.01493,CSMI
559004.38,4772152.2,1,0.01686,CSMI
559590.48,4772296.4,1,0.01595,CSMI
