X,Y,Z,TP,Source
560076.01,4756966.6,1,0.00581,CSMI
562476.5,4757563.1,1,0.00445,CSMI
562724.7,4757624.8,1,0.01191,CSMI
558922.19,4764939.6,1,0.01682,CSMI
560994.78,4765451.1,1,0.0069,CSMI
561584.39,4765596.6,1,0.00816,CSMI
558213.34,4766808.8,1,0.00521,CSMI
560270.3,4767315.2,1,0.04212,CSMI
557695.09,4768714.7,1,0.00859,CSMI
560006,4769289.3,1,0.00628,CSMI
560006,4769289.3,1,0.01467,CSMI
560514.84,4769415.8,1,0.00495,CSMI
556615.96,4771546.7,1,0.00703,CSMI
556615.96,4771546.7,1,0.00753,CSMI
559004.38,4772152.2,1,0.0134,CSMI
559590.48,4772296.4,1,0.01839,CSMI
558708.76,4769153.7,1,0.00327,Pothoven
552452.27,4785467.2,1,0.00726,Pothoven
556978.55,4776858.7,1,0.0034,Pothoven
560033.3,4767038.4,1,0.00659,Pothoven
