X,Y,Z,TP
560076.01,4756966.6,2,1
562476.50,4757563.1,2,1
562724.70,4757624.8,2,1
558922.19,4764939.6,2,1
560994.78,4765451.1,2,1
561584.39,4765596.6,2,1
558213.34,4766808.8,2,1
560270.30,4767315.2,2,1
557695.09,4768714.7,2,1
560006.00,4769289.3,2,1
560514.84,4769415.8,2,1
556615.96,4771546.7,2,1
559004.38,4772152.2,2,1
559590.48,4772296.4,2,1
554825.06,4776458.9,2,1
557050.11,4777077.7,2,1
557457.68,4777191.1,2,1
551482.03,4783451.9,2,1
553637.33,4784246.9,2,1
554269.98,4784480.2,2,1
550701.78,4785253.2,2,1
552690.64,4785986.0,2,1
549671.54,4787003.3,2,1
551970.27,4787850.3,2,1
552495.85,4788043.9,2,1
546263.16,4794207.0,2,1
548341.37,4794988.6,2,1
548976.61,4795227.5,2,1
560707.23,4767422.7,2,1
553306.10,4781920.0,17,2
544706.27,4783857.0,45,2
534948.63,4783095.8,110,2
558708.76,4769153.7,15,2
552452.27,4785467.2,12,2
556978.55,4776858.7,10,2
560033.30,4767038.4,10,2
